model,iteration,RMSE,bagging_fraction,bagging_freq,feature_fraction,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,num_leaves,subsample
LGBM,21,7035976.999947864,0.7063579396595158,2.0,0.28647619402848806,0.001110499911435597,9.0,90.0,0.04773106585480992,0.09235959445499467,48.0,0.9092640539086861
LGBM,77,7052023.18589213,0.7820686972426467,1.0,0.4264167995823872,0.0023976021362243803,3.0,110.0,0.025443427854909433,0.060224828186020304,112.0,0.8402347302485758
LGBM,98,7057131.371664395,0.7575357569580615,2.0,0.35024494632667325,0.0013856391324723696,6.0,140.0,0.018188877901527595,0.06519340393515673,100.0,0.9991474386615231
LGBM,79,7058869.918851494,0.8342388855925181,5.0,0.2144440776936774,0.00169824192453057,5.0,100.0,0.014798983264913478,0.08062716134629186,96.0,0.8136317046439274
LGBM,9,7067569.07598332,0.7653813426646565,2.0,0.6647805432270709,0.001706135067419135,10.0,122.0,0.07491873647765379,0.05006051875601461,10.0,0.8725416961164081
LGBM,70,7077843.279286405,0.7660009540482221,1.0,0.33554510399269344,0.002803293838505013,3.0,106.0,0.04022014329821977,0.0942750446313104,104.0,0.883520085999715
LGBM,93,7088334.873323306,0.8417732253337118,1.0,0.20120063178200479,0.003234767752080417,3.0,116.0,0.0534971377499518,0.08114295811255456,110.0,0.9659464917388643
LGBM,66,7107283.6345037455,0.7211213028590645,2.0,0.27796172350264253,0.002317807323070426,4.0,90.0,0.051726568925100455,0.09210468061666743,110.0,0.9022188798094815
LGBM,51,7115579.780435868,0.7401055843166712,2.0,0.32206929573225884,0.0017645401696016363,7.0,164.0,0.05158164041051861,0.030890706733023778,42.0,0.8631763375980308
LGBM,80,7116211.48930004,0.7436507544341371,2.0,0.24407003663600801,0.0034429092069295127,3.0,102.0,0.010140894411142102,0.08394686559708342,82.0,0.7978831109153116
LGBM,12,7118892.270488846,0.9834653952804865,5.0,0.3517628123037323,0.0027319316290639814,4.0,172.0,0.022711921313968507,0.06391984326444754,112.0,0.9522110261815656
LGBM,48,7137267.323606275,0.7009593429380127,5.0,0.2330925453074964,0.004457030450638574,3.0,134.0,0.0823423579499888,0.061361890820777934,92.0,0.8728186690722596
