model,iteration,RMSE,bagging_fraction,bagging_freq,feature_fraction,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,num_leaves,subsample
LGBM,28,6772667.707232619,0.9364639030575194,4.0,0.3983742888801865,0.0010246921846085708,3.0,190.0,0.09354116514265678,0.06931938850168608,18.0,0.6322482970454842
LGBM,48,6774707.491933227,0.989850986611446,1.0,0.4360010980339014,0.0010190649438974614,3.0,198.0,0.09601013945184479,0.05896049671409127,84.0,0.7284274854918026
LGBM,20,6797013.314409943,0.9943441590326744,5.0,0.5502202280065518,0.0010702118140359133,3.0,170.0,0.09129413446665444,0.044553806988495204,20.0,0.7631365082907683
LGBM,66,6798184.0136313345,0.9913074508729399,5.0,0.6393339597456746,0.001037231689279725,3.0,186.0,0.09238067136184186,0.05318915438641415,48.0,0.7626462159238687
LGBM,56,6801374.731486339,0.9624361281244805,2.0,0.7818276841503171,0.001027691191141016,3.0,166.0,0.054754978347590896,0.06263782400657139,80.0,0.7879387470193987
LGBM,96,6830654.357482498,0.9571172469554903,5.0,0.40806025157537296,0.0012121319221032204,3.0,122.0,0.041926766326093275,0.07082624150157826,118.0,0.6367103214964628
LGBM,23,6848125.9372441145,0.9969138372048886,5.0,0.5864661951640298,0.0012229048693414611,3.0,184.0,0.09955466886604533,0.040845294436929434,26.0,0.7493687272463613
LGBM,65,6848443.166163494,0.9611991048657608,5.0,0.5824094890314284,0.0012052193716034867,3.0,172.0,0.09868191607179093,0.04323397127611829,26.0,0.7955084656416626
LGBM,70,6877939.808874987,0.9514117898007934,4.0,0.5355210376330397,0.0013360665246783734,3.0,198.0,0.09967284570115185,0.04391357942818767,46.0,0.8128333068095657
LGBM,74,6918973.730893999,0.9580696162593644,4.0,0.40782331419991175,0.0010221358037632378,5.0,178.0,0.09709461874056552,0.06478061084103386,88.0,0.8720580457939727
LGBM,91,6920687.680984619,0.9784162097515728,1.0,0.3544283187368129,0.0016450992670523782,3.0,192.0,0.05347978174220497,0.030797540559381338,14.0,0.8239769782044744
LGBM,98,6946481.760179213,0.9033262982773684,4.0,0.3165517263965594,0.0013956631858459997,4.0,186.0,0.0941823969179434,0.08132943223944171,34.0,0.7372231237371173
LGBM,25,6954274.401936336,0.9531286304365962,5.0,0.6233303702475081,0.0010437702419230641,5.0,182.0,0.08900216813619682,0.02699314037786063,22.0,0.601723007132019
LGBM,30,6961327.397178881,0.9369074548136036,4.0,0.32876486922211207,0.0019115315698933653,3.0,144.0,0.08170550991506574,0.07102527680960527,36.0,0.6115861094307748
LGBM,24,6977732.622321943,0.7008953381151721,5.0,0.5105863006759829,0.0011905688128299107,5.0,190.0,0.09968306113439884,0.04173835885075532,28.0,0.742463822880522
